name,alignment,role_type,"description ",ru_name,ru_description
Village Idiot,good,Townsfolk,"Each night, choose a player: you learn their alignment. [+0 to +2 Village Idiots. 1 of the extras is drunk]",Дурачок,
Mutant,good,Outsider,"If you are mad about being an Outsider, you might be executed.",Уродец,
Ogre,good,Outsider,"On your 1st night, choose a player (not yourself): you become their alignment (you don't know which) even if drunk or poisoned.",Огр,
Politician,good,Outsider,"If you were the player most responsible for your team losing, you change alignment & win, even if dead.",Политик,
Puzzlemaster,good,Outsider,"1 player is drunk, even if you die. If you guess (once) who it is, learn the Demon player, but guess wrong & get false info.",Головоломщик,
Recluse,good,Outsider,"You might register as evil & as a Minion or Demon, even if dead.",Затворник,
Saint,good,Outsider,"If you die by execution, your team loses.",Святой,
Sweetheart,good,Outsider,"When you die, 1 player is drunk from now on.",Душечка,
Lunatic,good,Outsider,"You think you are a Demon, but you are not. The Demon knows who you are & who you choose at night.",Безумец,
Tinker,good,Outsider,You might die at any time.,Механик,
Assassin,evil,Minion,"Once per game, at night*, choose a player: they die, even if for some reason they could not.",Убийца,
Snake Charmer,good,Townsfolk,"Each night, choose an alive player: a chosen Demon swaps characters & alignments with you & is then poisoned.",Заклинатель змей,
Zealot,good,Outsider,"If there are 5 or more players alive, you must vote for every nomination.",Фанатик,
Klutz,good,Outsider,"When you learn that you died, publicly choose 1 alive player: if they are evil, your team loses.",Растяпа,
Baron,evil,Minion,There are extra Outsiders in play. [+2 Outsiders],Барон,
Boffin,evil,Minion,The Demon (even if drunk or poisoned) has a not-in-play good character's ability. You both know which.,Умник,
Boomdandy,evil,Minion,"If you are executed, all but 3 players die. After a 10 to 1 countdown, the player with the most players pointing at them, dies.",Подрывник,
Virgin,good,Townsfolk,"The 1st time you are nominated, if the nominator is a Townsfolk, they are executed immediately.",Девственница,
Cerenovus,evil,Minion,"Each night, choose a player & a good character: they are mad they are this character tomorrow, or might be executed.",Гипнотизёр,
Snitch,good,Outsider,Each Minion gets 3 bluffs.,Болтун,
Plague Doctor,good,Outsider,"When you die, the Storyteller gains a Minion ability.",Чумной доктор,
Fearmonger,evil,Minion,"Each night, choose a player: if you nominate & execute them, their team loses. All players know if you choose a new player.",Страшила,
Godfather,evil,Minion,"You start knowing which Outsiders are in play. If 1 died today, choose a player tonight: they die. [-1 or +1 Outsider]",Крёстный отец,
Harpy,evil,Minion,"Each night, choose 2 players: tomorrow, the 1st player is mad that the 2nd is evil, or one or both might die.",Гарпия,
Goblin,evil,Minion,"If you publicly claim to be the Goblin when nominated & are executed that day, your team wins.",Гоблин,
Marionette,evil,Minion,"You think you are a good character, but you are not. The Demon knows who you are. [You neighbor the Demon]",Марионетка,
Mastermind,evil,Minion,"If the Demon dies by execution (ending the game), play for 1 more day. If a player is then executed, their team loses.",Кукловод,
Mezepheles,evil,Minion,You start knowing a secret word. The 1st good player to say this word becomes evil that night.,Мецефель,
Pit-Hag,evil,Minion,"Each night*, choose a player & a character they become (if not in play). If a Demon is made, deaths tonight are arbitrary.",Яга,
Poisoner,evil,Minion,"Each night, choose a player: they are poisoned tonight and tomorrow day.",Отравитель,
Spy,evil,Minion,"Each night, you see the Grimoire. You might register as good & as a Townsfolk or Outsider, even if dead.",Шпион,
Summoner,evil,Minion,"You get 3 bluffs. On the 3rd night, choose a player: they become an evil Demon of your choice. [No Demon]",Призыватель,
Devil's Advocate,evil,Minion,"Each night, choose a living player (different to last night): if executed tomorrow, they don't die.",Адвокат дьявола,
Widow,evil,Minion,"On your first night, look at the Grimoire & choose a player: they are poisoned. 1 good player knows a Widow is in play.",Вдова,
Vizier,evil,Minion,"All players know you are the Vizier. You cannot die during the day. If good voted, you may choose to execute immediately.",Визирь,
Witch,evil,Minion,"Each night, choose a player: if they nominate tomorrow, they die. If just 3 players live, you lose this ability.",Ведьма,
Wizard,evil,Minion,"Once per game, choose to make a wish. If granted, it might have a price & leave a clue as to its nature.",Волшебник,
Psychopath,evil,Minion,"Each day, before nominations, you may publicly choose a player: they die. If executed, you only die if you lose roshambo.",Психопат,
Xaan,evil,Minion,"On night X, all Townsfolk are poisoned until dusk. [X Outsiders]",Ксаан,
Al-Hadikhia,evil,Demon,"Each night*, you may choose 3 players (all players learn who): each silently chooses to live or die, but if all live, all die.",Аль-Адихия,
Imp,evil,Demon,"Each night*, choose a player: they die. If you kill yourself this way, a Minion becomes the Imp.",Чёрт,
Organ Grinder,evil,Minion,"All players keep their eyes closed when voting and the vote tally is secret. Each night, choose if you are drunk until dusk.",Шарманщик,
Lleech,evil,Demon,"Each night*, choose a player: they die. You start by choosing a player: they are poisoned. You die if & only if they are dead. ",Пиявка,
Leviathan,evil,Demon,"If more than 1 good player is executed, evil wins. All players know you are in play. After day 5, evil wins.",Левиафан,
Legion,evil,Demon,"Each night*, a player might die. Executions fail if only evil voted. You register as a Minion too. [Most players are Legion]",Легион,
Kazali,evil,Demon,"Each night*, choose a player: they die. [You choose which players are which Minions. -? to +? Outsiders]",Казали,
Scarlet Woman,evil,Minion,"If there are 5 or more players alive & the Demon dies, you become the Demon. (Travellers don't count)",Блудница,
Pukka,evil,Demon,"Each night, choose a player: they are poisoned. The previously poisoned player dies then becomes healthy.",Пукка,
Ojo,evil,Demon,"Each night*, choose a character: they die. If they are not in play, the Storyteller chooses who dies.",Охо,
Po,evil,Demon,"Each night*, you may choose a player: they die. If your last choice was no-one, choose 3 players tonight.",По,
Evil Twin,evil,Minion,"You & an opposing player know each other. If the good player is executed, evil wins. Good can't win if you both live.",Злые близнецы,
Shabaloth,evil,Demon,"Each night*, choose 2 players: they die. A dead player you chose last night might be regurgitated.",Шабалот,
Vigormortis,evil,Demon,"Each night*, choose a player: they die. Minions you kill keep their ability & poison 1 Townsfolk neighbor. [-1 Outsider]",Вигормортис,
Vortox,evil,Demon,"Each night*, choose a player: they die. Townsfolk abilities yield false info. Each day, if no-one is executed, evil wins.",Вортекс,
Fang Gu,evil,Demon,"Each night*, choose a player: they die. The 1st Outsider this kills becomes an evil Fang Gu & you die instead. [+1 Outsider]",Фан'Гу,
Yaggababble,evil,Demon,"You start knowing a secret phrase. For each time you said it publicly today, a player might die.",Яготрёп,
Zombuul,evil,Demon,"Each night*, if no-one died today, choose a player: they die. The 1st time you die, you live but register as dead.",Зомбул,
Lil' Monsta,evil,Demon,"Each night, Minions choose who babysits Lil' Monsta & 'is the Demon'. Each night*, a player might die. [+1 Minion]",Монстрёнок,
Lord of Typhon,evil,Demon,"Each night*, choose a player: they die. [Evil characters are in a line. You are in the middle. +1 Minion. -? to +? Outsiders]",Владыка Тифон,
No Dashii,evil,Demon,"Each night*, choose a player: they die. Your 2 Townsfolk neighbors are poisoned.",Но'Даши,
Riot,evil,Demon,"On day 3, Minions become Riot & nominees die but nominate an alive player immediately. This must happen.",Мятежник,
